Semi-Balanced Percentage,Accuracy,Loss
0,33.38333333333333,0.05465775355696678
10,90.30666666666667,0.03330454230308533
20,93.21999999999998,0.07568181306123734
30,94.41666666666667,0.14019721746444702
40,95.27666666666666,0.08303633332252502
50,95.58666666666666,0.05920892581343651
60,95.89666666666666,0.04972339794039726
70,96.05666666666667,0.10891672223806381
80,96.02666666666666,0.10329191386699677
90,95.97000000000001,0.07420119643211365
