optimal_epoch,batch_size,learning_rate,opt_loss,opt_val_acc,opt_acc
21.333333333333332,256,0.008334740012979819,0.0273710610345006,96.62299563289662,96.41630829749641
33.33333333333333,512,0.004129059436696754,0.0352459941059351,96.37297063039637,96.54298763209654
31.999999999999996,256,0.0034383375667810926,0.02489979014111062,96.58299163249657,96.64633129979666
10.666666666666666,128,0.00879322830290234,0.07202073310812314,96.41630829749641,96.37297063039637
38.33333333333333,256,0.001671327993281524,0.08513412997126579,96.37963796379637,96.42964296429642
99.33333333333334,256,8.438141636123331e-05,0.16019128759702045,94.5961262792946,94.6928026135947
24.666666666666668,256,0.00662188163934727,0.028032140185435615,96.48631529819647,96.28296162949627
11.0,128,0.009633903934711655,0.05093055839339892,96.44964496449644,96.31629829649631
39.66666666666667,256,0.0013998222645018733,0.05219185476501783,96.56298963229656,96.53298663199652
32.0,256,0.0018362168691601244,0.04842370624343554,96.38963896389639,96.40630729739641
99.66666666666669,512,0.00011917903076326899,0.16324118276437125,94.61279461279462,94.73947394739474
18.0,64,0.006710544459645713,0.05750592487553756,96.47631429809647,96.2029536286962
19.333333333333336,64,0.0017305683934867111,0.05397000163793564,96.61966196619662,96.68633530019667
31.333333333333332,64,0.00919975374014967,0.05756036782016357,96.2762942960963,96.22628929559622
29.000000000000004,128,0.009202164246355764,0.056950896202276155,96.54298763209655,96.53298663199654
29.666666666666664,64,0.0007016752465947673,0.05810838068524997,96.47298063139647,96.72300563389672
25.333333333333332,128,0.007939493846959685,0.08976413682103157,96.54632129879654,96.32629929659632
17.666666666666668,256,0.0067695267797562506,0.045516498386859894,96.54298763209653,96.50965096509651
73.66666666666667,256,0.0005636064922062412,0.053591364373763405,96.26962696269626,96.15961596159616
12.999999999999998,128,0.009409082633932047,0.05071246034155289,96.37963796379637,96.49298263159649
16.0,128,0.00505552686158677,0.030637220479547977,96.61299463279661,96.52965296529652
97.33333333333334,128,0.00016937140822589127,0.07920976666112742,96.23629029569625,96.31296462979631
23.666666666666668,64,0.0043333336823991086,0.11455172610779603,96.65299863319666,96.50298363169651
27.0,512,0.0035077592357385962,0.048932636777559914,96.3796379637964,96.33296662999632
18.333333333333332,128,0.004433400748676144,0.024181063907841843,96.5829916324966,96.51298463179651
14.333333333333334,64,0.003841655078788727,0.02461911675830682,96.51298463179651,96.46297963129646
30.666666666666664,256,0.0027836284985518537,0.017498716711997986,96.42297563089645,96.56632329899656
19.333333333333336,128,0.008584739748344098,0.012696149603774149,96.38963896389639,96.38297163049637
16.666666666666668,128,0.0059911524768367225,0.031303614998857185,96.5829916324966,96.49298263159648
36.0,64,0.006242598516848404,0.022254936397075653,96.40964096409641,96.31963196319634
95.0,64,0.0001674998107337111,0.07649673024813335,96.15628229489616,96.33296662999635
15.0,128,0.004696810068994677,0.039416661486029625,96.67300063339667,96.51298463179651
